name,left_over_total
Tomato & Basil Lasagna (Each),96.0
Tex Mex Corn (1/4 cup),98.0
Steamed Broccoli (1/4 cups),106.0
Potato Encrusted Breaded Pollock (Fillet),111.0
"Peanut Butter and Jelly Sandwich, IW (Each)",114.0
"Chicken, Bites (4 Bites)",119.0
Chicken Tikka Masala (1/2 cup),121.0
Chicken Alfredo Pasta (heaping 1 cup ( #4 scoop)),122.0
"Cheese, Shredded, Cheddar (Cup)",125.0
Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),128.0
Corn (1/4 cup (cooked)),134.0
Assorted Craisins (Packet),136.0
"Patty, Chicken, Breaded, WG (Serving)",140.0
"Milk, Soy, Vanilla (24/8 oz) (each)",144.0
Roasted Sunflower Seeds (Package),147.0
Chicken Quesadilla (quesadilla),148.0
Steamed Baby Carrots (1/2 cup),152.0
Chilled Peaches (1/2 cup),154.0
Hamburger (Sandwich),163.0
Applesauce (1/4 cup),163.0
IW Heartzels Pretzels (Package),164.0
Corn (1/2 cup (thawed)),165.0
"Beef, Taco Meat, Pre-Cooked (1/2 cup (#8 scoop))",170.0
"Peppers, Red, Whole (1/4 cup)",172.0
"Peppers, Green, Whole (1/2 cup)",174.0
Arepa w/Taco Beef (1 Aprea + #8 scoop of beef),202.0
Blueberry Bread (1oz Grain (1/64 Baked Pan)),211.0
"Patty, Chicken, Spicy, Breaded (Patty)",218.0
Black Beans (1/2 cup),223.0
Graham Crackers (Package),224.0
Red Seedless Grapes (2 Tablespoons),230.0
"Sandwich, Turkey & Cheese (sandwich)",236.0
Wheat Thins (Package),240.0
IW Applesauce Cup (Each),244.0
"Carrots, Shredded (Cup)",252.0
Orange Slices (Each),253.0
Raspberry Lemonade Flavored Dried Cranberries (2 Eaches),272.0
BBQ Chicken Sandwich (Sandwich),279.0
Nachos with Black Beans and Cheese Sauce (Serving),283.0
"Carrots, IW,   Super Snack (2 each)",291.0
"Salsa, Mild Canned (2 Tablespoons)",304.0
Sweet Thai Chili Chicken Wings (3 Wings),329.0
"Onions, Red, Whole (1/4 cup (sliced))",344.0
Cucumbers (1/2 cup sliced),347.0
Nachos with Taco Meat and Cheese Sauce (Serving Size),355.0
Cherry Tomatoes (6 Tomatoes per 1/2 cup),368.0
BBQ Chicken Drumstick (Drumstick),405.0
Potato Wedges (4 pieces),450.0
"Apple, Slices, IW - ER Supper Only (Each)",507.0
Roasted Plantains (3 Slices),523.0
Chicken and Cheese Quesadilla (Quesadilla),542.0
Celery Sticks (1/4 cup),544.0
"Peppers, green, pre-sliced (1/4 cup sliced)",579.0
Sweet Thai Chili Sauce (ounce),579.0
"Tomato, Large, whole, Plum (1/4 cup sliced)",581.0
Black Beans (2 Tablespoons),585.0
Turkey Pepperoni Pizza (1.37 oz),586.0
Grape Tomatoes (6 Tomatoes per 1/2 cup),592.0
"Quesadilla, Turkey Barbacoa and Cheese (Quesadilla)",594.0
Hot Turkey & Cheese (sandwich),597.0
Apple Slices (6 Slices per 1/2 cup),643.0
Watermelon Flavored Dried Cranberries (2 Eaches),663.0
Fish  Sandwich (Sandwich),683.0
Cheddar Chex Mix (Package),686.0
Orange Flavored Dried Cranberries (2 Eaches),693.0
Orange (6 Slices per 1/2 cup),725.0
Potstickers (6 Potstickers),759.0
Applesauce (1/2 Cup),766.0
Chana Masala (1/2 cup),773.0
Lettuce Blend Salad Mix (1 cup),777.0
Natural Breakfast Syrup (Each),875.0
Manager's Vegetable Choice (1/2 cup),922.0
"Lactose Free, White Milk (Each)",939.0
Whole Strawberries (1/2 cup thawed),945.0
"Frozen Berry, Triple Berry Blend (1/2 cup (thawed))",945.0
Vegan Burger (Sandwich),1031.0
Chickpeas (2 Tablespoons),1042.0
"Peppers, red, pre-sliced (1/4 cup sliced)",1052.0
Strawberry Flavored Dried Cranberries (2 Eaches),1061.0
Steamed Broccoli (1/2 cup),1088.0
Cherry Flavored Dried Cranberries (2 Eaches),1148.0
Chicken Masala Drumstick (Drumstick),1184.0
Orange Slices (6 Slices per 1/2 cup),1202.0
"Turkey,  Breast, Pre-Sliced, Oven Roasted (3 Slices)",1202.0
Broccoli Florets (6 Pieces per 1/2 cup),1233.0
Turkey Barbacoa Arepa (1 Arepa + #10 scoop of turkey barbacoa),1239.0
"Penne Pasta with Marinara and Beef Meatballs (cup cooked pasta, 1/2c sauce, 5 meatballs)",1242.0
Mandarin Orange Pepper Fruit Salsa (1 TBSP),1247.0
Cucumber Slices (6 Slices per 1/2 cup),1266.0
"Peppers, Green, Whole (2 Tablespoon)",1292.0
Cheese Quesadilla (Quesadilla),1298.0
Chilled Peaches (1/2 cup (drained)),1387.0
Bean and Cheese Pupusa (Pupusa),1514.0
Roasted Plantains (6 Slices),1514.0
Orange Chicken (4 Bites w/ 1oz sauce),1519.0
Marinara Sauce (1/4 Cup),1533.0
"Peppers, Red, Whole (2 Tablespoons)",1545.0
Fish Tacos (2 Tacos),1578.0
Orange Chickenless Bites (4 bites),1581.0
Strawberry Parfait Power Pack (Power Pack),1584.0
"Patty, Chicken, Breaded, WG (2 strips)",1586.0
Nachos with Cheese Sauce (Serving),1619.0
Tex Mex Corn (1/2 cup),1670.0
Cucumber Slices (2 Tablespoon),1684.0
Fat Free Unflavored Shelf-Stable Milk (Each),1728.0
Vegetable Dumpling (6 dumplings),1780.0
"Patty, Chicken, Spicy, Breaded (2 strips)",1809.0
Chicken & Vegetable Dumplings (6 dumplings),1831.0
Asian Veggie Sub (sandwich),1865.0
Nachos with Turkey Barbacoa and Cheese Sauce (Serving),1869.0
WG Chocolate Chip Rice Krispy Treats (Each),1893.0
Beef Meatball Sub Sandwich (Sandwich),1894.0
Lay's RF Kettle Original Chips (Each),1895.0
SS Baked Cheetos Flaming Limon (Each),1926.0
Pasta with Meat Sauce (serving),1963.0
Potato Wedges (7 pieces),1990.0
Chickpeas (1/2 cup),2042.0
"Bread, Loco (1/2 piece)",2046.0
"Bread, Loco (flatbread)",2112.0
Cool Ranch Reduced Fat Doritos (Each),2115.0
Sour Cream (2 Tablespoons),2191.0
Kellogg’s W/G Rice Krispies Treats (Each),2198.0
Grilled Cheese Sandwich (Sandwich),2207.0
Kettle Cooked Smoky BBQ Chips (Each),2212.0
"Onions, Red, Whole (2 Tablespoons (sliced))",2241.0
"Apple Slices (3 slices, 1/4 cup)",2256.0
Orange (Each - serving),2263.0
WG Baked Funyuns (Each),2274.0
Spicy Chicken Wrap (Wrap),2291.0
Chickenless Bites (2 Bites),2355.0
Chilled Peaches (1/4 cup (drained)),2359.0
Doritos RF Spicy Sweet Chili (Each),2375.0
Blueberry Bread (1 square),2400.0
Corn (2 Tablespoons (thawed)),2403.0
SS Cheetos Fantastix Flaming Hot (Each),2477.0
Alfredo & Basil Lasagna (Each),2503.0
Original Flavored Dried Cranberries (Package),2549.0
Whole Wheat Dinner Roll (Each),2559.0
Strawberry Chex Mix (Package),2574.0
Doritos RF Nacho Cheese (Each),2610.0
"Peppers, green, pre-sliced (1/2 cup sliced)",2616.0
"Cheese, Shredded, Cheddar (1/4 cup)",2788.0
RF Kettle Chips Jalapeno & Cheddar Chips (Each),2937.0
Chilled Mandarin Oranges (1/4 cup (drained)),2951.0
Sub Roll (Sub Roll),2974.0
Black Beans - salad bar entree (1/2 cup),2985.0
"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",3097.0
Doritos Wild White Nacho Flavored Tortilla Chips (Bag),3191.0
Assorted  4 oz Yogurt (Container),3291.0
Cheeseburger (Sandwich),3322.0
"Salsa, Mild Canned (1.5 oz)",3342.0
Cooked  Brown Rice (1/2 cup cooked),3396.0
"WG 10"" Flour Tortilla (Tortilla)",3398.0
String Cheese (Each),3434.0
Orange Sauce (ounce),3458.0
"Sauce, BBQ, HFCS-Free, Bulk, Low-Sodium (2 TBSP)",3481.0
Doritos Flamas (Each),3522.0
SS Baked Cheetos Flaming Hot (Each),3522.0
Asian Meatball Sub (sandwich),3557.0
Chocolate Chip Cookie (1/2 Cookie),3598.0
Chickpeas - salad bar entree (1/2 cup),3862.0
1% Unflavored Shelf-Stable Milk (Each),3870.0
RF Kettle Chips Sea Salt & Vinegar Chips (Each),3974.0
Black Beans (1/2 Cup),4042.0
Smartfood RF White Cheddar Popcorn (Each),4086.0
"Sauce, Spicy Mayo (tbsp)",4109.0
Corn (1/2 cup (cooked)),4223.0
Cooked  Brown Rice (1 cup cooked),4624.0
Cheez-Its Crackers (Package),4877.0
Raspberry Lemonade Flavored Dried Cranberries (Each),5219.0
"Fruit Snacks, Welch's Mixed (Each)",5300.0
Baby Carrots (6 Baby Carrots per 1/2 cup),5302.0
"Peppers, red, pre-sliced (1/2 cup sliced)",5356.0
Corn (1/4 cup (thawed)),5375.0
Marinara Sauce (1/2 cup),5596.0
Chickenless Bites (4 Bites),5809.0
Gala Apple (Each),5946.0
Celery Sticks (1/2 cup),5953.0
Chilled Mandarin Oranges (1/2 cup (drained)),5984.0
Turkey Pepperoni Pizza (Slice),5991.0
Whole Wheat Dinner Roll (2 rolls),6406.0
Grape Tomatoes (1/4 cup),6606.0
Orange Tangerine Juice (Each),6682.0
Apple Juice (Each),6811.0
Orange Flavored Dried Cranberries (Each),7581.0
Cherry Vanilla Yogurt Power Pack (Power Packs),7676.0
Black Beans (1/4 Cup),7786.0
Spicy Breaded Chicken Patty on Bun (Sandwich),7856.0
Red Seedless Grapes (8 grapes per 1/4 cup),8154.0
Cheese Pizza (Slice),8753.0
Cherry Tomatoes (1/4 cup),8801.0
Baked Cheese Sticks (2 Cheese Sticks),8820.0
Chocolate Chip Cookie (Cookie),8950.0
Peach Yogurt Power Pack (Power Packs),9900.0
Chicken Tenders (3 tenders),10506.0
Soft Pretzel (1 pretzel),10917.0
Bottled Water (Bottle),11052.0
Broccoli Florets (1/4 cup),11732.0
Watermelon Flavored Dried Cranberries (Each),12049.0
Red Seedless Grapes (16 grapes per 1/2 cup),12236.0
Cucumber Slices (1/4 cup),12688.0
Golden Delicious Apple (Each),13309.0
Cherry Flavored Dried Cranberries (Each),13362.0
Banana (Each),13465.0
Strawberry Flavored Dried Cranberries (Each),14026.0
Strawberry & Banana Yogurt Power Pack (Power Packs),14308.0
Apple Slices (3 slices per 1/4 cup),16155.0
Chickpeas (1/4 cup),16650.0
Manager's Vegetable Choice (1/4 cup),20775.0
Baby Carrots (3 baby carrots per 1/4 cup),21050.0
Orange (1/4 cup),21281.0
Orange Slices (3 slices per 1/4 cup),23159.0
Red Delicious Apple (Each - serving),26758.0
Lettuce Blend Salad Mix (1/2 cup),27642.0
Ranch Dressing (1 ounce),39585.0
Mayonnaise Packet (Packet),40582.0
Mustard Packet (Packet),42733.0
PB&J Power Pack (Power Packs),46382.0
Italian Dressing (1 ounce),46452.0
Ketchup Packet (Packet),86447.0
Fat Free White Milk (Each),131265.0
1% White Milk (Each),236130.0
Fat Free Chocolate Milk (Each),459755.0
